Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,None,None,None,None,0
2,None,None,None,None,0
3,None,None,None,None,0
4,None,None,None,None,0
5,None,None,None,None,0
6,None,None,None,None,0
7,None,None,None,None,0
8,None,None,None,None,0
9,None,None,None,None,0
10,None,None,None,None,0
11,None,None,None,None,0
12,None,None,None,None,0
13,None,None,None,None,0
14,None,None,None,None,0
15,None,None,None,None,0
16,None,None,None,None,0
17,None,None,None,None,0
18,None,None,None,None,0
19,None,None,None,None,0
20,None,None,None,None,0
21,None,None,None,None,0
22,None,None,None,None,0
23,None,None,None,None,0
24,None,None,None,None,0
25,None,None,None,None,0
26,None,None,None,None,0
27,None,None,None,None,0
28,None,None,None,None,0
29,None,None,None,None,0
30,None,None,None,None,0
